Rank|Name|Sport|Wikipedia Page|Gender|Total Pay|Salary/Winnings|Endorsements|Country|Year|Date|Home|Winnings
55|Aaron Rodgers|Football|http://en.wikipedia.org/wiki/Aaron_Rodgers|Male|$22,000,000|$11,000,000|$11,000,000|United States|1981|26/09/1981|Saginaw, Michigan, United States|175
55|Aaron Rodgers|Football|http://en.wikipedia.org/wiki/Aaron_Rodgers|Male|$22,000,000|$11,000,000|$11,000,000|United States|1983|2/12/1983|Chico, California, United States|188
55|Aaron Rodgers|Football|http://en.wikipedia.org/wiki/Aaron_Rodgers|Male|$22,000,000|$14,500,000|$7,500,000|United States|1981|26/09/1981|Saginaw, Michigan, United States|175
55|Aaron Rodgers|Football|http://en.wikipedia.org/wiki/Aaron_Rodgers|Male|$22,000,000|$14,500,000|$7,500,000|United States|1983|2/12/1983|Chico, California, United States|188
95|Adam Scott|Golf|https://en.wikipedia.org/wiki/Adam_Scott_(golfer)|Male|$17,700,000|$8,700,000|$9,000,000|Australia|1980|16/07/1980|Adelaide, Australia|183
60|Adrian Gonzalez|Baseball|http://en.wikipedia.org/wiki/Adrian_Gonzalez|Male|$21,500,000|$18,000,000|$3,500,000|Dominican Republic|1982|22/11/1982|San Pedro de Macorís, Dominican Republic|183
60|Adrian Gonzalez|Baseball|http://en.wikipedia.org/wiki/Adrian_Gonzalez|Male|$21,500,000|$18,000,000|$3,500,000|United States|1982|08/05/1982|San Diego, California, United States|188
60|Adrian Gonzalez|Baseball|http://en.wikipedia.org/wiki/Adrian_Gonzalez|Male|$21,500,000|$21,100,000|$400,000|Dominican Republic|1982|22/11/1982|San Pedro de Macorís, Dominican Republic|183
60|Adrian Gonzalez|Baseball|http://en.wikipedia.org/wiki/Adrian_Gonzalez|Male|$21,500,000|$21,100,000|$400,000|United States|1982|08/05/1982|San Diego, California, United States|188
48|Alex Rodriguez|Baseball|http://en.wikipedia.org/wiki/Alex_Rodriguez|Male|$22,900,000|$22,500,000|$400,000|Venezuela|1979|13/03/1979|Mérida, Venezuela|183
48|Alex Rodriguez|Baseball|http://en.wikipedia.org/wiki/Alex_Rodriguez|Male|$22,900,000|$22,500,000|$400,000|United States|1975|27/07/1975|New York City|190
48|Alex Rodriguez|Baseball|http://en.wikipedia.org/wiki/Alex_Rodriguez|Male|$22,900,000|$22,600,000|$300,000|Venezuela|1979|13/03/1979|Mérida, Venezuela|183
48|Alex Rodriguez|Baseball|http://en.wikipedia.org/wiki/Alex_Rodriguez|Male|$22,900,000|$22,600,000|$300,000|United States|1975|27/07/1975|New York City|190
93|Alfonso Soriano|Baseball|http://en.wikipedia.org/wiki/Alfonso_Soriano|Male|$18,050,000|$18,000,000|$50,000|Dominican Republic|1976|07/01/1976|San Pedro de Macorís, Dominican Republic|185
27|Amar'e Stoudemire|Basketball|http://en.wikipedia.org/wiki/Amar%27e_Stoudemire|Male|$26,700,000|$21,700,000|$5,000,000|United States|1982|16/11/1982|Lake Wales, Florida|211
75|Barry Zito|Baseball|http://en.wikipedia.org/wiki/Barry_Zito|Male|$20,400,000|$20,000,000|$400,000|United States|1984|1/10/1984|Dothan, Alabama|190
75|Barry Zito|Baseball|http://en.wikipedia.org/wiki/Barry_Zito|Male|$20,400,000|$20,000,000|$400,000|United States|1978|13/05/1978|Las Vegas Valley, Nevada, United States|188
75|Barry Zito|Baseball|http://en.wikipedia.org/wiki/Barry_Zito|Male|$20,400,000|$20,300,000|$100,000|United States|1984|1/10/1984|Dothan, Alabama|190
75|Barry Zito|Baseball|http://en.wikipedia.org/wiki/Barry_Zito|Male|$20,400,000|$20,300,000|$100,000|United States|1978|13/05/1978|Las Vegas Valley, Nevada, United States|188
47|Blake Griffin|Basketball|http://en.wikipedia.org/wiki/Blake_Griffin|Male|$23,000,000|$16,500,000|$6,500,000|United States|1989|16/03/1989|Oklahoma City, Oklahoma, United States|208
91|Branden Albert|Football|http://en.wikipedia.org/wiki/Branden_Albert|Male|$18,435,000|$18,400,000|$35,000|United States|1984|4/11/1984|Rochester, New York, United States|196
97|Brandon Marshall|Football|http://en.wikipedia.org/wiki/Brandon_Marshall|Male|$17,500,000|$17,300,000|$200,000|United States|1979|20/05/1979|Springfield, Illinois|196
97|Brandon Marshall|Football|http://en.wikipedia.org/wiki/Brandon_Marshall|Male|$17,500,000|$17,300,000|$200,000|United States|1984|23/03/1984|Pittsburgh|193
97|Brandon Marshall|Football|http://en.wikipedia.org/wiki/Brandon_Marshall|Male|$17,500,000|$16,800,000|$700,000|United States|1979|20/05/1979|Springfield, Illinois|196
97|Brandon Marshall|Football|http://en.wikipedia.org/wiki/Brandon_Marshall|Male|$17,500,000|$16,800,000|$700,000|United States|1984|23/03/1984|Pittsburgh|193
74|Carl Crawford|Baseball|http://en.wikipedia.org/wiki/Carl_Crawford|Male|$20,500,000|$20,200,000|$300,000|United States|1981|05/08/1981|Houston, United States|188
84|Carlos Dunlap|Football|http://en.wikipedia.org/wiki/Carlos_Dunlap|Male|$18,800,000|$18,300,000|$500,000|United States|1981|16/07/1981|Marion, Indiana|206
84|Carlos Dunlap|Football|http://en.wikipedia.org/wiki/Carlos_Dunlap|Male|$18,800,000|$18,300,000|$500,000|United States|1989|28/02/1989|North Charleston, South Carolina|198
84|Carlos Dunlap|Football|http://en.wikipedia.org/wiki/Carlos_Dunlap|Male|$18,750,000|$18,700,000|$50,000|United States|1981|16/07/1981|Marion, Indiana|206
84|Carlos Dunlap|Football|http://en.wikipedia.org/wiki/Carlos_Dunlap|Male|$18,750,000|$18,700,000|$50,000|United States|1989|28/02/1989|North Charleston, South Carolina|198
24|Carmelo Anthony|Basketball|http://en.wikipedia.org/wiki/Carmelo_Anthony|Male|$29,400,000|$21,400,000|$8,000,000|United States|1984|29/05/1984|Brooklyn, New York City, New York, United States|203
37|CC Sabathia|Baseball|http://en.wikipedia.org/wiki/CC_Sabathia|Male|$24,200,000|$18,700,000|$5,500,000|United States|1985|06/05/1985|Forsyth County, North Carolina, United States|183
