Rank,Name,Sport,Wikipedia Page,Gender
55,Aaron Rodgers,Football,http://en.wikipedia.org/wiki/Aaron_Rodgers,Male
95,Adam Scott,Golf,https://en.wikipedia.org/wiki/Adam_Scott_(golfer),Male
60,Adrian Gonzalez,Baseball,http://en.wikipedia.org/wiki/Adrian_Gonzalez,Male
48,Alex Rodriguez,Baseball,http://en.wikipedia.org/wiki/Alex_Rodriguez,Male
93,Alfonso Soriano,Baseball,http://en.wikipedia.org/wiki/Alfonso_Soriano,Male
27,Amar'e Stoudemire,Basketball,http://en.wikipedia.org/wiki/Amar%27e_Stoudemire,Male
75,Barry Zito,Baseball,http://en.wikipedia.org/wiki/Barry_Zito,Male
47,Blake Griffin,Basketball,http://en.wikipedia.org/wiki/Blake_Griffin,Male
91,Branden Albert,Football,http://en.wikipedia.org/wiki/Branden_Albert,Male
97,Brandon Marshall,Football,http://en.wikipedia.org/wiki/Brandon_Marshall,Male
74,Carl Crawford,Baseball,http://en.wikipedia.org/wiki/Carl_Crawford,Male
84,Carlos Dunlap,Football,http://en.wikipedia.org/wiki/Carlos_Dunlap,Male
24,Carmelo Anthony,Basketball,http://en.wikipedia.org/wiki/Carmelo_Anthony,Male
37,CC Sabathia,Baseball,http://en.wikipedia.org/wiki/CC_Sabathia,Male
37,Chris Paul,Basketball,http://en.wikipedia.org/wiki/Chris_Paul,Male
57,Chris Bosh,Basketball,http://en.wikipedia.org/wiki/Chris_Bosh,Male
30,Cliff Lee,Baseball,http://en.wikipedia.org/wiki/Cliff_Lee,Male
70,Cole Hamels,Baseball,http://en.wikipedia.org/wiki/Cole_Hamels,Male
40,Darrelle Revis,Football,http://en.wikipedia.org/wiki/Darrelle_Revis,Male
80,David Ortiz,Baseball,http://en.wikipedia.org/wiki/David_Ortiz,Male
35,Derek Jeter,Baseball,http://en.wikipedia.org/wiki/Derek_Jeter,Male
79,Deron Williams,Basketball,http://en.wikipedia.org/wiki/Deron_Williams,Male
13,Derrick Rose,Basketball,http://en.wikipedia.org/wiki/Derrick_Rose,Male
45,Dirk Nowitzki,Basketball,http://en.wikipedia.org/wiki/Dirk_Nowitzki,Male
33,Zack Greinke,Baseball,http://en.wikipedia.org/wiki/Zack_Greinke,Male
66,Drew Brees,Football,http://en.wikipedia.org/wiki/Drew_Brees,Male
29,Dwight Howard,Basketball,http://en.wikipedia.org/wiki/Dwight_Howard,Male
23,Dwyane Wade,Basketball,http://en.wikipedia.org/wiki/Dwyane_Wade,Male
6,Tiger Woods,Golf,http://en.wikipedia.org/wiki/Tiger_Woods,Male
66,Eli Manning,Football,http://en.wikipedia.org/wiki/Eli_Manning,Male
11,Manny Pacquiao,Boxing,http://en.wikipedia.org/wiki/Manny_Pacquiao,Male
77,Felix Hernandez,Baseball,http://en.wikipedia.org/wiki/Felix_Hernandez,Male
21,Fernando Alonso,Racing,http://en.wikipedia.org/wiki/Fernando_Alonso,Male
63,Fernando Torres,Soccer,http://en.wikipedia.org/wiki/Fernando_Torres,Male
1,Floyd Mayweather,Boxing,"http://en.wikipedia.org/wiki/Floyd_Mayweather,_Jr.",Male
92,Franck Ribéry,Soccer,http://en.wikipedia.org/wiki/Franck_Rib%C3%A9ry,Male
14,Gareth Bale,Soccer,http://en.wikipedia.org/wiki/Gareth_Bale,Male
53,Geno Atkins,Football,http://en.wikipedia.org/wiki/Geno_Atkins,Male
59,Yaya Touré,Soccer,http://en.wikipedia.org/wiki/Yaya_Tour%C3%A9,Male
64,Henrik Stenson,Golf,http://en.wikipedia.org/wiki/Henrik_Stenson,Male
94,Jairus Byrd,Football,http://en.wikipedia.org/wiki/Jairus_Byrd,Male
70,Jason Peters,Football,http://en.wikipedia.org/wiki/Jason_Peters,Male
97,Jayson Werth,Baseball,http://en.wikipedia.org/wiki/Jayson_Werth,Male
86,Jeff Gordon,Racing,http://en.wikipedia.org/wiki/Jeff_Gordon,Male
42,Jimmie Johnson,Racing,http://en.wikipedia.org/wiki/Jimmie_Johnson,Male
52,Joe Johnson,Basketball,http://en.wikipedia.org/wiki/Joe_Johnson_(basketball),Male
48,Johan Santana,Baseball,http://en.wikipedia.org/wiki/Johan_Santana,Male
18,Matthew Stafford,Football,http://en.wikipedia.org/wiki/Matthew_Stafford,Male
77,Albert Pujols,Baseball,http://en.wikipedia.org/wiki/Albert_Pujols,Male
32,Miguel Cabrera,Baseball,http://en.wikipedia.org/wiki/Miguel_Cabrera,Male
31,Joe Mauer,Baseball,http://en.wikipedia.org/wiki/Joe_Mauer,Male
62,Joe Haden,Football,http://en.wikipedia.org/wiki/Joe_Haden,Male
69,Julius Peppers,Football,http://en.wikipedia.org/wiki/Julius_Peppers,Male
70,Justin Verlander,Baseball,http://en.wikipedia.org/wiki/Justin_Verlander,Male
20,Kevin Durant,Basketball,http://en.wikipedia.org/wiki/Kevin_Durant,Male
5,Kobe Bryant,Basketball,http://en.wikipedia.org/wiki/Kobe_Bryant,Male
89,Larry Fitzgerald,Football,http://en.wikipedia.org/wiki/Larry_Fitzgerald,Male
3,LeBron James,Basketball,http://en.wikipedia.org/wiki/LeBron_James,Male
19,Lewis Hamilton,Racing,http://en.wikipedia.org/wiki/Lewis_Hamilton,Male
41,Li Na,Tennis,http://en.wikipedia.org/wiki/Li_Na,Female
4,Lionel Messi,Soccer,http://en.wikipedia.org/wiki/Lionel_Messi,Male
100,Luis Suárez,Soccer,http://en.wikipedia.org/wiki/Luis_Su%C3%A1rez,Male
22,Mahendra Singh Dhoni,Cricket,http://en.wikipedia.org/wiki/Mahendra_Singh_Dhoni,Male
34,Maria Sharapova,Tennis,http://en.wikipedia.org/wiki/Maria_Sharapova,Female
50,Mark Teixeira,Baseball,http://en.wikipedia.org/wiki/Mark_Teixeira,Male
51,Matt Kemp,Baseball,http://en.wikipedia.org/wiki/Matt_Kemp,Male
10,Matt Ryan,Football,http://en.wikipedia.org/wiki/Matt_Ryan,Male
75,Matt Cain,Baseball,http://en.wikipedia.org/wiki/Matt_Cain,Male
99,Matt Holliday,Baseball,http://en.wikipedia.org/wiki/Matt_Holliday,Male
89,Mesut Özil,Soccer,http://en.wikipedia.org/wiki/Mesut_%C3%96zil,Male
16,Neymar,Soccer,http://en.wikipedia.org/wiki/Neymar,Male
17,Novak Djokovic,Tennis,http://en.wikipedia.org/wiki/Novak_Djokovic,Male
57,Pau Gasol,Basketball,http://en.wikipedia.org/wiki/Pau_Gasol,Male
26,Peyton Manning,Football,http://en.wikipedia.org/wiki/Peyton_Manning,Male
8,Phil Mickelson,Golf,http://en.wikipedia.org/wiki/Phil_Mickelson,Male
39,Prince Fielder,Baseball,http://en.wikipedia.org/wiki/Prince_Fielder,Male
15,Radamel Falcao,Soccer,http://en.wikipedia.org/wiki/Radamel_Falcao,Male
