55,United States,1983,2/12/1983,"Chico, California, United States",188
95,Australia,1980,16/07/1980,"Adelaide, Australia",183
60,United States,1982,08/05/1982,"San Diego, California, United States",188
48,United States,1975,27/07/1975,New York City,190
93,Dominican Republic,1976,07/01/1976,"San Pedro de Macorís, Dominican Republic",185
27,United States,1982,16/11/1982,"Lake Wales, Florida",211
75,United States,1978,13/05/1978,"Las Vegas Valley, Nevada, United States",188
47,United States,1989,16/03/1989,"Oklahoma City, Oklahoma, United States",208
91,United States,1984,4/11/1984,"Rochester, New York, United States",196
97,United States,1984,23/03/1984,Pittsburgh,193
74,United States,1981,05/08/1981,"Houston, United States",188
84,United States,1989,28/02/1989,"North Charleston, South Carolina",198
24,United States,1984,29/05/1984,"Brooklyn, New York City, New York, United States",203
37,United States,1980,21/07/1980,"Vallejo, California",201
37,United States,1985,06/05/1985,"Forsyth County, North Carolina, United States",183
57,United States,1984,24/03/1984,"Dallas, Texas, United States",211
30,United States,1978,30/08/1978,"Benton, Arkansas",190
70,United States,1983,27/12/1983,"San Diego, California, United States",193
40,United States,1985,14/07/1985,"Aliquippa, Pennsylvania, United States",180
80,Dominican Republic,1975,18/11/1975,"Santo Domingo, Dominican Republic",195
35,United States,1974,26/06/1974,"Pequannock Township, New Jersey",190
79,United States,1984,26/06/1984,"Parkersburg, West Virginia",191
13,United States,1988,4/10/1988,"Chicago, Illinois, United States",191
45,Germany,1978,19/06/1978,"West Germany, Würzburg",213
33,United States,1983,21/10/1983,"Orlando, Florida",188
66,United States,1979,15/01/1979,"Austin, Texas",183
29,United States,1985,8/12/1985,"Atlanta, Georgia, United States",211
23,United States,1982,17/01/1982,"Chicago, Illinois, United States",193
6,United States,1975,30/12/1975,"Cypress, California",185
66,United States,1981,03/01/1981,"New Orleans, Louisiana, United States",193
11,Philippines,1978,17/12/1978,"Kibawe, Bukidnon, General Santos, Philippines",152
77,Venezuela,1986,08/04/1986,"Valencia, Venezuela",190
21,Spain,1981,29/07/1981,"Oviedo, Asturias, Spain",171
63,Spain,1984,20/03/1984,"Fuenlabrada, Spain",186
1,United States,1977,24/02/1977,"Grand Rapids, Michigan, United States",173
92,France,1983,07/04/1983,"Boulogne-sur-Mer, France",170
14,Wales,1989,16/07/1989,"Cardiff, Wales",183
53,United States,1988,28/03/1988,"Pembroke Pines, Florida, United States",185
59,Ivory Coast,1983,13/05/1983,"Bouaké, Ivory Coast",191
64,Sweden,1976,05/04/1976,"Gothenburg, Sweden",185
94,United States,1986,7/10/1986,"San Diego, California, United States",178
70,United States,1982,22/01/1982,"Queen City, Texas, United States",193
97,United States,1979,20/05/1979,"Springfield, Illinois",196
86,United States,1971,04/08/1971,"Vallejo, California, United States",150
42,United States,1975,17/09/1975,"El Cajon, California, United States",165
52,United States,1981,29/06/1981,"Little Rock, Arkansas",201
48,Venezuela,1979,13/03/1979,"Mérida, Venezuela",183
18,United States,1988,07/02/1988,"Tampa, Florida, United States",188
77,Dominican Republic,1980,16/01/1980,Santo Domingo,190
32,Venezuela,1983,18/04/1983,"Venezuela, Maracay",193
31,United States,1983,19/04/1983,"Saint Paul, Minnesota",196
62,United States,1989,14/04/1989,"Fort Washington, Maryland, United States",180
69,United States,1980,18/01/1980,"Wilson, North Carolina, United States",201
70,United States,1983,20/02/1983,"Manakin-Sabot, Virginia",196
20,United States,1988,29/09/1988,"Washington, D.C.",206
5,United States,1978,23/08/1978,Philadelphia,198
89,United States,1983,31/08/1983,Minneapolis,191
3,United States,1984,30/12/1984,"Akron, Ohio",203
19,England,1985,07/01/1985,"Stevenage, Hertfordshire, England, United Kingdom",174
41,China,1982,26/02/1982,"Wuhan, Hubei, China",172
4,Argentina,1987,24/06/1987,"Rosario, Santa Fe, Argentina",169
100,Uruguay,1987,24/01/1987,"Salto, Uruguay",181
22,India,1981,07/07/1981,"Ranchi, Bihar, India",175
34,Russia,1987,19/04/1987,"Nyagan, Russia",188
50,United States,1980,11/04/1980,"Annapolis, Maryland",191
51,United States,1984,23/09/1984,"Midwest City, Oklahoma",193
10,United States,1985,17/05/1985,"Exton, Pennsylvania, United States",193
75,United States,1984,1/10/1984,"Dothan, Alabama",190
99,United States,1980,15/01/1980,"Stillwater, Oklahoma",193
89,Germany,1988,15/10/1988,"Gelsenkirchen, Germany",181
16,Brazil,1992,05/02/1992,"Mogi das Cruzes, Brazil",175
17,Serbia,1987,22/05/1987,"Belgrade, Serbia",188
57,Spain,1980,06/07/1980,"Barcelona, Spain",213
26,United States,1976,24/03/1976,New Orleans,196
8,United States,1970,16/06/1970,"San Diego, California, United States",190
39,United States,1984,09/05/1984,"Ontario, California",183
15,Colombia,1986,10/02/1986,"Santa Marta, Colombia",177
9,Spain,1986,03/06/1986,"Manacor, Balearic Islands, Spain",185
28,United States,1974,10/10/1974,"Kannapolis, North Carolina, United States",165
81,Netherlands,1983,06/08/1983,"Rotterdam, Netherlands",183
60,Dominican Republic,1982,22/11/1982,"San Pedro de Macorís, Dominican Republic",183
7,Switzerland,1981,08/08/1981,"Basel, Switzerland",183
35,Northern Ireland,1989,04/05/1989,"County Down, Northern Ireland, United Kingdom",175
88,United States,1986,17/08/1986,Baltimore,203
82,United States,1988,12/11/1988,"Long Beach, California",191
53,United States,1979,19/11/1979,St. Louis,193
66,Mexico,1990,18/07/1990,"Guadalajara, Jalisco, Mexico",180
83,Germany,1987,03/07/1987,"Heppenheim, Hesse, Germany",176
55,United States,1981,26/09/1981,"Saginaw, Michigan, United States",175
44,Argentina,1988,02/06/1988,Buenos Aires,173
86,England,1980,30/05/1980,"Whiston, Merseyside, England, United States",183
96,United States,1982,11/10/1982,"Minneapolis, Minnesota, United States",191
73,United States,1984,15/06/1984,"Bellevue, Washington",180
45,Jamaica,1986,21/08/1986,"Trelawny Parish, Jamaica",196
65,United States,1978,8/12/1978,"Shreveport, Louisiana",185
43,England,1985,24/10/1985,"Croxteth, Liverpool, England, United Kingdom",176
25,Ukraine,1976,25/03/1976,Kazakhstan,198
84,United States,1981,16/07/1981,"Marion, Indiana",206
12,Sweden,1981,3/10/1981,"Malmö, Sweden",195
2,Portugal,1985,05/02/1985,"Funchal, Madeira, Portugal",185
